OBJECTID,price,m2,rooms_number,market,building_type,floor_no,building_floor,windows_type,heating,build_year,construction,rent,building_ownership,latitude,longitude,building_material,metro_distance,bust_tram_distance,rail_distance,centre_travel_time,park_distance,uniqueID,district_numerical
2471,890000.0,94.0,3,0,2,1,1,1,3,2024,1,0.0,0,52.11628,21.00884,0,4199.02,637.64,1238.72,28,939.0,2479,12
11722,1298708.0,81.22,4,1,0,0,3,1,5,2014,3,1230.0,0,52.1983331,20.9249221,1,4559.12,147.72,859.77,18,1128.0,11763,16
9345,954900.0,49.73,2,1,1,1,5,1,5,2018,3,0.0,0,52.212667,20.96774,9,2112.64,36.62,771.04,12,252.0,9371,5
5768,735000.0,39.0,2,1,1,6,10,1,5,1968,3,0.0,1,52.18959,20.99155,9,1677.11,156.63,864.98,15,965.0,5788,4
1651,795000.0,50.3,2,1,6,3,3,1,5,1953,0,650.0,0,52.18165,20.97382,1,3041.54,24.04,916.92,18,221.0,1656,16
14003,5700000.0,244.0,7,1,1,7,10,1,5,2016,0,550.0,0,52.27508,20.96239,0,174.91,37.28,2214.34,17,376.0,14054,3
7509,690000.0,44.0,2,1,1,1,4,1,5,1963,2,800.0,0,52.2414923,21.0681376,1,1765.5,162.69,1455.57,9,18.0,7532,6
8745,385000.0,25.62,1,0,0,3,5,1,5,2025,1,0.0,0,52.2584714,21.1268676,1,5174.73,54.78,1669.95,21,1671.0,8770,8
6523,1125000.0,47.42,2,1,0,0,4,1,5,2016,0,910.0,0,52.1694147,21.0679851,1,2642.84,36.72,5528.83,25,625.0,6544,15
10927,870000.0,57.6,3,1,1,9,15,1,5,1976,3,0.0,0,52.27323,20.9333,9,1439.61,173.49,3270.59,21,197.0,10963,3
11276,769000.0,27.5,1,1,6,0,4,2,5,1938,0,390.0,3,52.23614,21.00817,9,70.93,58.72,1367.99,6,89.0,11316,9
2992,670000.0,44.12,2,1,1,3,3,1,5,1965,3,0.0,0,52.27177,20.94492,9,1132.33,45.87,2552.62,18,609.0,3001,3
10063,3432880.0,156.04,5,1,0,2,4,1,2,2010,2,0.0,0,52.27657,20.96766,9,453.69,196.76,2296.49,18,250.0,10096,3
1399,690000.0,43.36,2,1,5,1,2,1,2,2008,0,730.0,0,52.1942624,21.1213615,6,6775.65,226.94,3359.67,19,1705.0,1404,13
2925,490000.0,74.0,2,0,0,1,4,1,5,2023,0,0.0,0,52.23614,21.00817,3,70.93,58.72,1367.99,6,89.0,2934,9
3709,450000.0,37.7,2,1,1,7,10,2,5,1970,2,600.0,1,52.2884531,21.0356018,9,658.91,37.41,1536.43,20,16.0,3718,10
11583,3290000.0,114.7,3,1,0,11,12,2,5,2001,0,2080.0,0,52.23756,21.00278,9,311.41,65.99,1525.08,7,54.0,11623,9
6406,733590.0,43.0,2,0,0,0,5,1,5,2025,1,0.0,0,52.190041,20.9271919,7,5350.83,590.36,441.98,18,2007.84,6427,16
6998,775500.0,47.0,3,1,1,1,4,1,5,1970,3,800.0,0,52.2951145,21.0341189,9,294.7,87.68,1464.47,19,245.0,7020,10
4463,799000.0,40.68,2,1,1,0,3,1,5,2019,0,522.0,0,52.2166779,21.1415051,6,7456.5,280.38,934.81,20,1418.0,4475,13
5679,5700000.0,91.8,3,1,1,11,52,1,5,2017,3,0.0,3,52.23117,21.00238,9,277.23,84.44,969.69,6,674.0,5699,9
3680,680000.0,35.6,3,1,1,4,12,1,5,2020,0,0.0,0,52.2289856,20.9137738,9,1079.16,59.14,2530.12,20,387.0,3689,1
9814,849000.0,58.2,3,1,1,0,4,1,5,1958,3,1100.0,3,52.17186,21.00141,9,1678.44,163.31,1169.28,19,334.0,9846,4
3685,859900.0,53.87,3,1,1,2,3,1,3,2024,0,500.0,0,52.347132,20.942228,6,6225.53,132.41,2357.74,28,1504.0,3694,2
13965,822000.0,45.57,2,0,1,4,7,1,5,2025,1,0.0,0,52.2306,21.10796,9,4733.74,118.22,2012.46,18,1025.0,14016,6
4817,792324.0,50.79,3,0,1,3,4,1,5,2025,1,14.0,0,52.24091,20.91133,9,191.41,97.39,3218.06,21,548.0,4833,1
13951,789446.0,36.38,2,0,0,1,5,1,5,2024,1,0.0,0,52.1972982,21.0475505,9,2231.67,67.81,4253.53,14,398.0,14002,4
12906,1200000.0,75.0,3,1,1,1,7,1,5,1991,0,1200.0,1,52.2406336139,20.9697541959,9,646.82,57.16,785.73,13,856.0,12956,17
12092,779000.0,53.0,2,1,1,2,3,1,5,1952,2,870.0,0,52.17279,20.99992,9,1771.64,19.07,1153.19,19,445.0,12134,4
796,1299000.0,93.11,3,1,1,1,1,1,2,2010,0,565.0,0,52.1348914,21.0120891765,1,2776.39,478.7,1611.88,24,1132.0,800,12
12894,1699999.0,81.0,3,1,1,10,11,1,5,2013,0,0.0,0,52.17557,20.99771,9,1822.65,84.69,895.9,18,704.0,12942,4
11455,2440000.0,88.63,4,1,1,4,4,1,5,2010,0,0.0,0,52.2380396,21.0913842,9,3397.21,299.45,1681.6,13,234.0,11495,6
9697,1270000.0,67.8,3,0,1,3,8,1,5,2026,1,0.0,3,52.17433,20.99022,9,2347.67,303.63,692.5,21,701.0,9728,4
1612,1340000.0,65.88,3,1,1,2,2,1,5,2018,0,782.0,0,52.21055,21.071849,9,3917.44,206.73,3939.64,13,898.0,1617,4
7482,798610.32,55.85,3,0,1,6,6,1,5,2025,1,0.0,0,52.28065,21.02926,9,1397.91,158.83,597.99,18,941.0,7505,10
13290,635000.0,36.5,1,1,6,3,3,1,5,1959,0,680.0,0,52.19256,21.0122742613,1,324.43,89.99,2172.38,13,659.0,13340,4
4902,860000.0,71.9,3,1,1,3,5,1,5,2003,0,1200.0,0,52.31843,20.95986,9,3644.55,90.52,2463.02,21,1189.0,4919,2
773,590000.0,54.1,2,1,1,0,3,1,5,2002,2,700.0,0,52.320957341,21.060165466,9,3277.23,210.08,4244.56,23,864.0,777,2
7686,820000.0,64.0,3,1,1,1,2,1,2,0,0,400.0,3,52.3299702,20.9519254,9,4532.38,198.0,2349.48,25,983.0,7709,2
8716,3000000.0,100.0,3,1,6,7,7,1,5,2000,0,2000.0,3,52.2241005,21.0045672,1,804.04,75.9,940.29,4,485.0,8741,9
8170,575000.0,26.7,2,1,1,5,15,1,5,1968,0,550.0,3,52.23849835,21.00294865,7,362.5,148.86,1620.69,7,13.0,8193,9
12177,1294276.0,66.0,3,1,0,4,9,1,5,2024,3,0.0,0,52.1862,20.9938,9,1594.93,59.41,808.26,16,1289.0,12219,4
9402,980000.0,76.45,4,1,1,3,4,1,5,1987,2,1400.0,3,52.2264292537,21.1037386164,9,4665.17,212.0,2467.2,17,943.0,9428,6
9461,599000.0,26.7,2,1,1,10,16,1,5,1974,0,400.0,0,52.23562,20.99739,9,226.4,49.97,1166.18,5,225.0,9487,9
2110,677000.0,40.0,2,1,1,2,4,2,5,2000,0,650.0,1,52.18623,21.06342,1,2715.61,44.49,5264.48,15,349.0,2116,4
328,699000.0,37.6,2,1,1,4,4,1,5,1965,0,495.0,3,52.19920485,21.03410355,9,1453.63,222.74,3717.99,13,142.0,330,4
9949,523476.0,35.37,2,0,0,2,2,1,2,2025,1,282.96,0,52.3104727329,21.0620342767,6,2180.72,48.4,3794.55,20,207.0,9981,2
3823,1198000.0,72.29,3,1,0,3,4,2,3,2009,0,900.0,0,52.2499909802,20.8920001323,7,1830.14,119.08,4585.87,21,1639.0,3832,1
10280,618836.0,43.58,2,0,1,1,3,1,5,2024,1,0.0,0,52.29297788,20.88287619,9,3108.01,390.23,7338.1,28,2878.1,10316,3
340,1050000.0,72.0,4,1,1,4,4,1,5,1979,2,1100.0,1,52.2109902,20.966965,4,2297.69,125.37,948.98,14,86.0,342,5
3117,750000.0,49.88,3,1,1,5,8,1,5,2021,0,750.0,0,52.3403355,20.9527853,9,5644.11,260.4,2346.43,25,1341.0,3126,2
9648,1930000.0,87.4,3,1,0,2,5,2,5,0,0,0.0,0,52.16041,21.0785,9,2476.48,296.89,6264.21,23,684.0,9678,15
13313,695000.0,37.6,2,1,6,5,8,1,5,1966,3,650.0,3,52.19146325,21.0129791,9,221.47,176.46,2168.81,13,650.0,13363,4
13511,1140000.0,59.5,3,0,0,4,4,1,5,2024,0,0.0,3,52.28238,21.06537,7,220.79,392.46,1112.66,20,285.0,13561,10
8875,760000.0,62.0,3,0,2,0,1,1,3,2024,1,0.0,0,52.11628,21.00884,0,4199.02,637.64,1238.72,28,939.0,8900,12
9607,916000.0,57.3,4,1,1,1,15,1,5,1975,0,850.0,0,52.17725,21.01793,9,580.62,217.85,2138.44,18,1174.0,9633,4
11967,773000.0,39.7,2,0,0,4,7,1,2,2025,1,600.0,0,52.2240997,20.9644572,1,851.17,332.55,300.43,10,683.0,12009,17
5404,690000.0,38.0,2,1,1,0,8,1,5,1963,0,720.0,0,52.1916632,21.01332445,4,209.25,147.9,2200.92,12,636.0,5424,4
8847,789175.0,43.7,2,0,1,0,3,1,5,2025,1,0.0,0,52.2378543958,20.8960152159,9,1131.17,125.27,3591.23,24,1542.0,8872,1
3859,690000.0,44.2,2,1,1,4,5,1,5,2020,0,500.0,0,52.3087389253,20.9917433481,9,2870.0,182.48,779.62,21,189.0,3868,2
12729,649000.0,36.1,1,1,0,4,5,1,5,2003,0,575.0,0,52.1327393,21.0678869,0,180.38,181.4,5267.62,29,610.0,12774,12
1386,1299000.0,71.0,2,1,0,3,4,1,5,2017,0,1000.0,0,52.1540287,21.0778883,9,2018.77,393.16,6331.92,24,614.0,1391,15
11655,729000.0,27.1,1,1,1,3,10,1,5,1970,0,0.0,1,52.239576119,21.0243988037,6,409.59,164.69,697.47,9,101.0,11696,9
1023,900689.0,43.81,2,0,1,0,4,1,5,2025,1,0.0,0,52.1581266644,21.0830132356,9,2586.28,88.55,6600.03,22,553.0,1027,15
15,1090000.0,50.0,2,1,1,7,8,2,5,2016,0,724.0,0,52.261827239,20.970929336,7,1074.87,174.87,641.73,16,497.0,15,18
7135,900000.0,61.0,3,1,1,4,9,1,5,1986,0,850.0,3,52.24354,20.91276,9,442.37,95.72,3153.72,21,250.0,7157,1
10104,710000.0,47.0,3,1,0,4,4,1,5,1972,0,900.0,0,52.26875425,20.94771205,4,1227.7,46.55,2187.61,18,607.0,10137,3
7508,989000.0,58.33,3,0,1,5,6,1,5,2024,1,0.0,3,52.1909905,20.9276993,1,5242.14,487.38,552.14,18,1929.0,7531,16
13124,654000.0,41.0,2,1,6,0,2,1,1,1937,0,550.0,0,52.24168,21.08406,1,2819.98,122.9,1802.14,14,748.0,13174,6
10873,859810.0,32.48,2,0,0,9,4,1,5,0,3,0.0,3,52.19832,21.01715,9,291.24,201.58,2561.84,12,144.0,10909,4
3706,459000.0,26.0,1,1,1,0,10,1,5,1980,0,430.0,1,52.276193,20.950517,4,580.8,141.0,2681.47,18,262.0,3715,3
12690,965000.0,57.8,3,1,1,9,10,1,5,1978,0,1100.0,3,52.170458,21.03178,9,387.2,348.99,3081.09,20,617.0,12735,4
13959,758514.0,45.42,2,0,1,0,6,1,5,2025,1,0.0,0,52.276398871,21.0118016526,9,1960.36,186.1,737.73,15,881.0,14010,7
7683,878000.0,47.5,2,1,0,6,7,1,5,2010,0,880.0,0,52.19948,20.96551,9,3028.4,35.79,287.86,15,294.0,7706,5
170,762261.0,59.09,3,0,1,1,3,2,3,2023,3,0.0,0,52.348128195,20.9414555238,10,6327.74,88.85,2350.75,27,1414.0,171,2
2535,1573719.0,94.62,4,0,1,2,3,1,5,2025,1,0.0,0,52.2067295573,21.0743443712,9,4187.69,45.83,4351.01,15,625.0,2543,4
10880,1500000.0,61.07,2,1,0,7,10,1,5,0,0,800.0,3,52.1884958,20.9933099,9,1572.09,27.83,1013.44,14,1092.0,10916,4
8888,1364999.0,79.32,4,1,1,4,6,1,5,2020,3,1049.0,0,52.19502,20.86093,9,6010.18,108.05,719.73,29,883.0,8913,11
354,299000.0,20.11,1,1,1,0,2,1,5,2023,0,0.0,0,52.2091688,20.9333631,1,3372.9,582.55,632.65,19,1260.0,356,16
9374,1280000.0,51.8,2,1,1,3,16,1,5,1994,0,1100.0,3,52.232429,20.9686326,7,137.55,73.44,792.06,11,322.0,9400,17
9905,698000.0,38.6,2,1,1,3,3,1,5,2003,0,720.0,0,52.28212,20.92894,1,837.64,217.42,4136.12,23,973.0,9937,3
12684,1030000.0,47.0,2,1,0,2,6,1,5,2014,0,0.0,0,52.26146,20.99034,9,298.4,126.2,257.87,10,558.0,12729,18
3370,1670000.0,61.69,3,1,0,4,6,2,5,2021,0,800.0,0,52.195237,20.983459,1,1984.57,72.53,284.36,15,614.0,3379,4
3943,819000.0,112.32,4,0,5,0,4,1,2,2025,1,0.0,0,52.32899,21.00768,0,4090.92,836.36,1565.08,24,1511.0,3953,2
12704,800000.0,63.7,4,1,1,0,4,1,5,1975,0,700.0,3,52.1787612854,21.0574761108,4,2188.79,78.32,4819.02,22,871.0,12749,4
10634,865275.0,44.65,2,0,0,7,15,1,5,2026,3,600.0,0,52.22241,20.93066,0,1971.85,69.26,1456.7,16,558.0,10670,17
8611,520000.0,27.97,1,0,1,8,8,1,5,2027,1,0.0,0,52.2884858123,21.0176752978,9,853.3,251.37,775.28,19,1039.0,8636,10
4795,878173.0,32.9,1,1,0,3,28,1,5,2021,0,0.0,0,52.2343,20.9894,6,553.61,103.66,944.73,7,619.0,4811,17
9151,1700000.0,86.0,4,1,0,1,7,1,5,2022,0,950.0,0,52.19512,20.88379,1,5236.32,33.9,120.27,25,228.0,9177,11
1087,479000.0,28.0,1,1,1,7,10,1,5,0,3,430.0,0,52.27809,20.95038,9,369.63,188.75,2864.39,19,434.0,1092,3
12519,1250000.0,59.0,3,1,1,2,5,1,5,2015,0,717.0,0,52.237895,21.1150045,1,4974.11,172.39,1409.34,16,284.0,12564,6
7809,1666000.0,90.77,4,0,1,6,6,1,5,0,3,0.0,3,52.1915,20.92485,9,5295.38,450.61,558.32,19,1793.0,7832,16
10951,1545000.0,99.45,4,0,1,0,6,1,5,2026,3,0.0,3,52.2275,20.88567,9,2226.19,120.93,2429.16,23,2269.11,10988,1
2271,599000.0,25.0,1,1,1,6,4,1,5,0,0,500.0,0,52.2444881136,21.000942001,1,26.1,43.6,1726.58,9,229.0,2277,9
4851,739900.0,37.1,1,1,1,2,3,1,5,1953,0,533.0,0,52.2079759,21.0104211,1,126.03,43.36,2387.9,8,229.0,4867,4
5385,1583000.0,66.56,3,0,1,6,7,1,5,2026,3,0.0,0,52.22318,20.97056,9,981.4,89.69,479.54,9,910.0,5405,17
169,2100000.0,127.47,4,1,6,2,4,2,5,1998,0,1400.0,0,52.2432428,20.9194158,1,450.72,384.28,2700.13,22,307.0,170,1
3099,2185000.0,74.0,3,1,0,1,10,1,5,2018,3,0.0,0,52.23131,20.97032,9,243.72,19.51,868.81,11,441.0,3108,17
11914,848900.0,55.0,2,1,1,3,3,1,5,1980,3,0.0,3,52.17373,21.03884,9,838.35,109.35,3615.48,18,389.0,11955,4
7950,589000.0,33.0,1,1,1,3,10,1,5,1978,3,490.0,1,52.1754,21.05873,4,2207.29,253.38,4931.6,21,724.0,7973,4
2792,899000.0,48.0,2,1,1,1,4,1,5,1963,0,600.0,0,52.2661898,20.97165575,1,587.48,171.71,1121.11,15,47.0,2801,18
7502,958384.0,56.4,3,0,1,1,16,1,5,2026,1,0.0,0,52.22498,20.95288,9,1190.5,291.49,638.03,13,513.0,7525,17
12710,685000.0,53.1,3,1,1,4,4,1,5,1973,2,0.0,1,52.18114,21.04851,9,1635.97,272.63,4204.26,17,773.0,12755,4
3208,877000.0,38.53,2,1,0,2,7,2,5,2009,0,400.0,0,52.1733134,20.9998,9,1777.95,50.6,1164.23,18,498.0,3217,4
12314,1200000.0,40.0,2,1,0,7,7,1,5,2023,0,600.0,3,52.17832,20.99312,9,1998.52,177.5,467.72,19,1011.0,12356,4
